league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31.0,1993.0,21,21,1890,21.0,46,2.19,99,53,53.5,3.0,4.0,14.0,3,14.3,5,3,2,0,40.0,
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31.0,1993.0,13,13,1170,13.0,22,1.69,55,33,60.0,3.0,3.0,7.0,3,23.1,1,0,0,1,,
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33.0,1991.0,2,2,180,2.0,4,2.0,11,7,63.6,1.0,0.0,1.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26.0,1997.0,32,32,2880,32.0,47,1.47,128,84,63.3,16.0,6.0,10.0,7,21.9,4,4,0,0,0.0,
GER-Bundesliga,2425,Frankfurt,Kauã Santos,BRA,GK,21.0,2003.0,9,8,765,8.5,12,1.41,49,37,75.5,5.0,1.0,2.0,3,37.5,1,1,0,0,0.0,
GER-Bundesliga,2425,Frankfurt,Kevin Trapp,GER,GK,34.0,1990.0,26,26,2295,25.5,34,1.33,116,82,70.7,12.0,8.0,6.0,6,23.1,2,0,2,0,100.0,
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26.0,1997.0,9,8,753,8.4,16,1.91,31,15,48.4,4.0,1.0,3.0,1,12.5,2,2,0,0,0.0,
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22.0,2002.0,26,26,2307,25.6,37,1.44,118,82,68.6,12.0,6.0,8.0,10,38.5,2,0,2,0,100.0,
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30.0,1994.0,12,11,978,10.9,29,2.67,75,46,61.3,2.0,1.0,8.0,1,9.1,3,2,1,0,33.3,
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26.0,1997.0,19,19,1639,18.2,25,1.37,93,68,73.1,9.0,4.0,6.0,4,21.1,5,5,0,0,0.0,
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18.0,2006.0,5,4,380,4.2,3,0.71,23,20,87.0,2.0,1.0,1.0,2,50.0,0,0,0,0,,
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36.0,1988.0,1,0,59,0.7,3,4.58,4,1,25.0,0.0,0.0,0.0,0,,0,0,0,0,,
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20.0,2004.0,2,1,121,1.3,0,0.0,2,2,100.0,1.0,0.0,0.0,2,200.0,0,0,0,0,,
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33.0,1991.0,33,33,2939,32.7,64,1.96,170,106,62.4,7.0,5.0,21.0,8,24.2,6,6,0,0,0.0,
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,23.0,2000.0,6,6,540,6.0,15,2.5,35,20,57.1,1.0,3.0,2.0,0,0.0,1,1,0,0,0.0,
GER-Bundesliga,2425,Hoffenheim,Oliver Baumann,GER,GK,34.0,1990.0,28,28,2520,28.0,53,1.89,137,88,61.3,6.0,8.0,14.0,4,14.3,5,2,3,0,60.0,
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,30.0,1994.0,9,9,810,9.0,19,2.11,55,36,65.5,2.0,2.0,5.0,0,0.0,3,2,1,0,33.3,
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,25.0,1999.0,25,25,2250,25.0,61,2.44,141,82,56.7,4.0,5.0,16.0,2,8.0,4,4,0,0,0.0,
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,34.0,1989.0,29,29,2610,29.0,38,1.31,123,85,69.1,16.0,11.0,2.0,6,20.7,4,4,0,0,0.0,
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,24.0,2000.0,5,5,450,5.0,5,1.0,17,12,70.6,3.0,1.0,1.0,3,60.0,0,0,0,0,,
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23.0,2001.0,2,2,180,2.0,2,1.0,8,6,75.0,1.0,1.0,0.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,29.0,1994.0,32,32,2880,32.0,41,1.28,142,101,71.1,13.0,9.0,10.0,9,28.1,5,4,1,0,20.0,
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22.0,2002.0,6,4,429,4.8,9,1.89,21,12,57.1,1.0,1.0,2.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34.0,1990.0,30,30,2631,29.2,39,1.33,136,99,71.3,12.0,11.0,7.0,14,46.7,3,2,1,0,33.3,
GER-Bundesliga,2425,St Pauli,Ben Alexander Voll,GER,GK,23.0,2000.0,2,1,91,1.0,2,1.98,6,4,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2425,St Pauli,Nikola Vasilj,BIH,GK,28.0,1995.0,33,33,2969,33.0,39,1.18,132,93,70.5,8.0,7.0,18.0,9,27.3,5,1,4,0,80.0,
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27.0,1996.0,34,34,3060,34.0,53,1.56,137,84,61.3,14.0,8.0,12.0,7,20.6,3,2,1,0,33.3,
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32.0,1992.0,6,6,540,6.0,13,2.17,28,15,53.6,2.0,0.0,4.0,0,0.0,1,1,0,0,0.0,
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31.0,1992.0,28,28,2520,28.0,37,1.32,109,72,66.1,8.0,10.0,10.0,8,28.6,5,1,4,0,80.0,
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29.0,1995.0,34,34,3060,34.0,57,1.68,158,103,63.9,14.0,9.0,11.0,10,29.4,3,3,0,0,0.0,
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25.0,1999.0,29,29,2585,28.7,49,1.71,137,89,64.2,9.0,7.0,13.0,5,17.2,3,2,1,0,33.3,
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31.0,1993.0,6,5,475,5.3,5,0.95,23,18,78.3,2.0,3.0,0.0,1,20.0,0,0,0,0,,
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,27.0,1998.0,34,34,3060,34.0,61,1.79,166,105,63.3,12.0,7.0,15.0,5,14.7,7,6,1,0,14.3,
GER-Bundesliga,2526,Bayern Munich,Jonas Urbig,GER,GK,21.0,2003.0,14,11,1111,12.3,15,1.22,47,32,68.1,9.0,1.0,1.0,6,54.5,2,1,0,1,0.0,
GER-Bundesliga,2526,Bayern Munich,Manuel Neuer,GER,GK,39.0,1986.0,22,22,1859,20.7,20,0.97,51,31,60.8,19.0,3.0,0.0,7,31.8,1,1,0,0,0.0,
GER-Bundesliga,2526,Bayern Munich,Sven Ulreich,GER,GK,36.0,1988.0,1,1,90,1.0,1,1.0,7,6,85.7,0.0,1.0,0.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2526,Dortmund,Gregor Kobel,SUI,GK,27.0,1997.0,34,34,3060,34.0,34,1.0,122,88,72.1,22.0,7.0,5.0,15,44.1,5,5,0,0,0.0,
GER-Bundesliga,2526,Frankfurt,Kauã Santos,BRA,GK,22.0,2003.0,13,13,1084,12.0,32,2.66,69,37,53.6,3.0,4.0,6.0,2,15.4,1,1,0,0,0.0,
GER-Bundesliga,2526,Frankfurt,Michael Zetterer,GER,GK,30.0,1995.0,22,21,1976,22.0,33,1.5,95,62,65.3,8.0,7.0,6.0,6,28.6,2,2,0,0,0.0,
GER-Bundesliga,2526,Freiburg,Noah Atubolu,GER,GK,23.0,2002.0,34,34,3060,34.0,57,1.68,157,100,63.7,13.0,8.0,13.0,6,17.6,1,0,1,0,100.0,
GER-Bundesliga,2526,Gladbach,Moritz Nicolas,GER,GK,27.0,1997.0,34,34,3060,34.0,53,1.56,189,136,72.0,9.0,11.0,14.0,13,38.2,5,5,0,0,0.0,
GER-Bundesliga,2526,Hamburger SV,Daniel Heuer Fernandes,POR,GK,32.0,1992.0,33,33,2970,33.0,53,1.61,158,105,66.5,9.0,10.0,14.0,6,18.2,10,6,2,2,25.0,
GER-Bundesliga,2526,Hamburger SV,Sander Tangvik,NOR,GK,22.0,2002.0,1,1,90,1.0,1,1.0,7,6,85.7,0.0,1.0,0.0,0,0.0,1,0,1,0,100.0,
GER-Bundesliga,2526,Heidenheim,Diant Ramaj,GER,GK,23.0,2001.0,31,31,2790,31.0,67,2.16,167,100,59.9,5.0,8.0,18.0,1,3.2,6,5,0,1,0.0,
GER-Bundesliga,2526,Heidenheim,Frank Feller,GER,GK,21.0,2004.0,3,3,270,3.0,5,1.67,20,15,75.0,1.0,0.0,2.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2526,Hoffenheim,Oliver Baumann,GER,GK,35.0,1990.0,34,34,3060,34.0,52,1.53,150,98,65.3,18.0,7.0,9.0,7,20.6,7,5,0,2,0.0,
GER-Bundesliga,2526,Köln,Marvin Schwäbe,GER,GK,30.0,1995.0,34,34,3060,34.0,63,1.85,155,92,59.4,7.0,11.0,16.0,3,8.8,7,5,2,0,28.6,
GER-Bundesliga,2526,Leverkusen,Janis Blaswich,GER,GK,34.0,1991.0,11,10,931,10.3,9,0.87,50,41,82.0,5.0,4.0,1.0,3,30.0,0,0,0,0,,
GER-Bundesliga,2526,Leverkusen,Mark Flekken,NED,GK,32.0,1993.0,24,24,2129,23.7,38,1.61,117,79,67.5,12.0,4.0,8.0,5,20.8,7,7,0,0,0.0,
GER-Bundesliga,2526,Mainz 05,Daniel Batz,GER,GK,34.0,1991.0,21,21,1890,21.0,27,1.29,97,70,72.2,9.0,7.0,5.0,4,19.0,1,1,0,0,0.0,
GER-Bundesliga,2526,Mainz 05,Lasse Rieß,GER,GK,24.0,2001.0,4,3,292,3.2,12,3.7,27,15,55.6,0.0,0.0,3.0,0,0.0,1,1,0,0,0.0,
GER-Bundesliga,2526,Mainz 05,Robin Zentner,GER,GK,30.0,1994.0,10,10,876,9.7,14,1.44,45,31,68.9,1.0,3.0,6.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2526,RB Leipzig,Maarten Vandevoordt,BEL,GK,23.0,2002.0,12,11,1052,11.7,15,1.28,45,30,66.7,8.0,1.0,2.0,2,18.2,1,0,1,0,100.0,
GER-Bundesliga,2526,RB Leipzig,Péter Gulácsi,HUN,GK,35.0,1990.0,23,23,2008,22.3,32,1.43,85,52,62.4,12.0,4.0,7.0,9,39.1,2,2,0,0,0.0,
GER-Bundesliga,2526,St Pauli,Nikola Vasilj,BIH,GK,29.0,1995.0,34,34,3060,34.0,60,1.76,183,123,67.2,6.0,8.0,20.0,5,14.7,6,3,2,1,40.0,
GER-Bundesliga,2526,Stuttgart,Alexander Nübel,GER,GK,28.0,1996.0,34,34,3060,34.0,49,1.44,157,107,68.8,18.0,8.0,8.0,11,32.4,10,9,1,0,10.0,
GER-Bundesliga,2526,Union Berlin,Carl Klaus,GER,GK,31.0,1994.0,4,3,330,3.7,4,1.09,13,9,69.2,2.0,1.0,0.0,1,33.3,0,0,0,0,,
GER-Bundesliga,2526,Union Berlin,Frederik Rønnow,DEN,GK,32.0,1992.0,30,30,2640,29.3,54,1.84,131,75,58.8,7.0,8.0,15.0,5,16.7,6,6,0,0,0.0,
GER-Bundesliga,2526,Union Berlin,Matheo Raab,GER,GK,26.0,1998.0,1,1,90,1.0,0,0.0,6,6,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,
GER-Bundesliga,2526,Werder Bremen,Karl Jakob Hein,EST,GK,23.0,2002.0,2,2,180,2.0,4,2.0,15,11,73.3,1.0,0.0,1.0,1,50.0,1,1,0,0,0.0,
GER-Bundesliga,2526,Werder Bremen,Mio Backhaus,GER,GK,21.0,2004.0,32,32,2880,32.0,56,1.75,156,100,64.1,7.0,8.0,17.0,5,15.6,5,5,0,0,0.0,
GER-Bundesliga,2526,Wolfsburg,Kamil Grabara,POL,GK,26.0,1999.0,34,34,3060,34.0,69,2.03,189,120,63.5,7.0,8.0,19.0,2,5.9,12,7,3,2,30.0,
NED-Eredivisie,2425,AZ Alkmaar,Jeroen Zoet,NED,GK,33.0,1991.0,6,6,540,,3,0.5,13,10,76.9,5.0,0.0,1.0,3,50.0,0,0,0,0,,6.0
NED-Eredivisie,2425,AZ Alkmaar,Rome-Jayden Owusu-Oduro,NED,GK,20.0,2004.0,28,28,2520,,34,1.21,87,53,60.9,11.0,9.0,8.0,9,32.1,3,1,1,1,50.0,28.0
NED-Eredivisie,2425,Ajax,Diant Ramaj,GER,GK,22.0,2001.0,1,1,90,,0,0.0,2,2,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,1.0
NED-Eredivisie,2425,Ajax,Matheus,BRA,GK,32.0,1992.0,9,9,810,,9,1.0,24,15,62.5,6.0,2.0,1.0,4,44.4,0,0,0,0,,9.0
NED-Eredivisie,2425,Ajax,Remko Pasveer,NED,GK,40.0,1983.0,24,24,2160,,23,0.96,90,67,74.4,17.0,4.0,3.0,11,45.8,0,0,0,0,,24.0
NED-Eredivisie,2425,Almere City,Jonas Wendlinger,AUT,GK,24.0,2000.0,1,0,10,,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,0.1
NED-Eredivisie,2425,Almere City,Nordin Bakker,NED,GK,26.0,1997.0,34,34,3050,,64,1.89,183,119,65.0,4.0,10.0,20.0,7,20.6,0,0,0,0,,33.9
NED-Eredivisie,2425,Feyenoord,Justin Bijlow,NED,GK,26.0,1998.0,4,4,360,,8,2.0,16,8,50.0,1.0,1.0,2.0,0,0.0,0,0,0,0,,4.0
NED-Eredivisie,2425,Feyenoord,Plamen Andreev,BUL,GK,19.0,2004.0,1,1,90,,2,2.0,4,2,50.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,1.0
NED-Eredivisie,2425,Feyenoord,Timon Wellenreuther,GER,GK,28.0,1995.0,29,29,2610,,28,0.97,98,70,71.4,19.0,7.0,3.0,10,34.5,2,1,1,0,50.0,29.0
NED-Eredivisie,2425,Fortuna Sittard,Luuk Koopmans,NED,GK,30.0,1993.0,6,6,540,,15,2.5,34,19,55.9,1.0,1.0,4.0,0,0.0,2,1,1,0,50.0,6.0
NED-Eredivisie,2425,Fortuna Sittard,Mattijs Branderhorst,NED,GK,30.0,1993.0,28,28,2520,,39,1.39,132,93,70.5,10.0,7.0,11.0,10,35.7,2,2,0,0,0.0,28.0
NED-Eredivisie,2425,Go Ahead Eagles,Jari De Busser,BEL,GK,24.0,1999.0,16,16,1440,,23,1.44,90,67,74.4,7.0,5.0,4.0,5,31.3,1,1,0,0,0.0,16.0
NED-Eredivisie,2425,Go Ahead Eagles,Luca Plogmann,GER,GK,24.0,2000.0,18,18,1620,,32,1.78,81,49,60.5,7.0,4.0,7.0,4,22.2,3,3,0,0,0.0,18.0
NED-Eredivisie,2425,Groningen,Etienne Vaessen,SUR,GK,29.0,1995.0,32,32,2880,,50,1.56,137,92,63.5,10.0,9.0,13.0,7,21.9,6,5,1,0,16.7,32.0
NED-Eredivisie,2425,Groningen,Hidde Jurjus,NED,GK,30.0,1994.0,2,2,180,,3,1.5,7,4,57.1,0.0,0.0,2.0,0,0.0,0,0,0,0,,2.0
NED-Eredivisie,2425,Heerenveen,Andries Noppert,NED,GK,30.0,1994.0,16,16,1365,,24,1.58,68,44,64.7,7.0,1.0,8.0,4,25.0,1,1,0,0,0.0,15.2
NED-Eredivisie,2425,Heerenveen,Mickey van der Hart,NED,GK,30.0,1994.0,19,18,1695,,33,1.75,103,72,68.0,5.0,6.0,7.0,3,16.7,3,3,0,0,0.0,18.8
NED-Eredivisie,2425,Heracles Almelo,Fabian de Keijzer,NED,GK,24.0,2000.0,34,34,3060,,63,1.85,192,129,67.2,9.0,11.0,14.0,6,17.6,6,6,0,0,0.0,34.0
NED-Eredivisie,2425,NAC Breda,Daniel Bielica,POL,GK,25.0,1999.0,32,32,2880,,52,1.62,164,112,68.3,8.0,9.0,15.0,5,15.6,6,6,0,0,0.0,32.0
NED-Eredivisie,2425,NAC Breda,Kostas Lamprou,GRE,GK,32.0,1991.0,1,1,90,,3,3.0,5,2,40.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,1.0
NED-Eredivisie,2425,NAC Breda,Roy Kortsmit,NED,GK,31.0,1992.0,1,1,90,,3,3.0,4,1,25.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,1.0
NED-Eredivisie,2425,NEC Nijmegen,Robin Roefs,NED,GK,21.0,2003.0,32,32,2880,,42,1.31,155,113,72.9,12.0,7.0,13.0,10,31.3,1,1,0,0,0.0,32.0
NED-Eredivisie,2425,NEC Nijmegen,Stijn van Gassel,NED,GK,27.0,1996.0,2,2,180,,4,2.0,15,11,73.3,0.0,0.0,2.0,0,0.0,1,1,0,0,0.0,2.0
NED-Eredivisie,2425,PSV,Joel Drommel,NED,GK,27.0,1996.0,1,0,45,,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,0.5
NED-Eredivisie,2425,PSV,Walter Benítez,ARG,GK,31.0,1993.0,34,34,3015,,39,1.16,104,65,62.5,25.0,4.0,5.0,9,26.5,2,2,0,0,0.0,33.5
NED-Eredivisie,2425,RKC Waalwijk,Jeroen Houwen,NED,GK,28.0,1996.0,24,24,2160,,48,2.0,136,88,64.7,4.0,4.0,16.0,4,16.7,2,2,0,0,0.0,24.0
NED-Eredivisie,2425,RKC Waalwijk,Joey Kesting,NED,GK,23.0,2001.0,3,3,270,,5,1.67,13,8,61.5,0.0,2.0,1.0,0,0.0,3,3,0,0,0.0,3.0
NED-Eredivisie,2425,RKC Waalwijk,Mark Spenkelink,NED,GK,27.0,1997.0,4,4,360,,12,3.0,24,12,50.0,2.0,0.0,2.0,0,0.0,2,2,0,0,0.0,4.0
NED-Eredivisie,2425,RKC Waalwijk,Yanick van Osch,NED,GK,27.0,1997.0,3,3,270,,9,3.0,25,16,64.0,0.0,1.0,2.0,0,0.0,1,1,0,0,0.0,3.0
NED-Eredivisie,2425,Sparta R.,Nick Olij,NED,GK,28.0,1995.0,34,34,3060,,43,1.26,152,109,71.7,9.0,12.0,13.0,6,17.6,5,4,1,0,20.0,34.0
NED-Eredivisie,2425,Twente,Lars Unnerstall,GER,GK,34.0,1990.0,31,31,2790,,39,1.26,103,64,62.1,14.0,9.0,8.0,11,35.5,2,2,0,0,0.0,31.0
NED-Eredivisie,2425,Twente,Przemysław Tytoń,POL,GK,37.0,1987.0,3,3,270,,10,3.33,19,9,47.4,1.0,0.0,2.0,0,0.0,0,0,0,0,,3.0
NED-Eredivisie,2425,Utrecht,Michael Brouwer,NED,GK,31.0,1993.0,3,3,270,,1,0.33,10,9,90.0,2.0,1.0,0.0,2,66.7,1,1,0,0,0.0,3.0
NED-Eredivisie,2425,Utrecht,Vasilios Barkas,GRE,GK,30.0,1994.0,31,31,2790,,44,1.42,143,99,69.2,16.0,9.0,6.0,7,22.6,3,3,0,0,0.0,31.0
NED-Eredivisie,2425,Willem II,Thomas Didillon,FRA,GK,28.0,1995.0,34,34,3060,,56,1.65,184,128,69.6,6.0,8.0,20.0,5,14.7,6,6,0,0,0.0,34.0
NED-Eredivisie,2425,Zwolle,Jasper Schendelaar,NED,GK,23.0,2000.0,30,30,2700,,45,1.5,146,101,69.2,8.0,10.0,12.0,6,20.0,5,3,0,2,0.0,30.0
NED-Eredivisie,2425,Zwolle,Mike Hauptmeijer,NED,GK,27.0,1997.0,4,4,360,,6,1.5,16,10,62.5,2.0,1.0,1.0,0,0.0,1,0,0,1,,4.0
NED-Eredivisie,2526,AZ Alkmaar,Hobie Verhulst,NED,GK,32.0,1993.0,1,1,90,,0,0.0,2,2,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,1.0
NED-Eredivisie,2526,AZ Alkmaar,Jeroen Zoet,NED,GK,34.0,1991.0,11,10,919,,15,1.47,46,31,67.4,5.0,2.0,3.0,2,20.0,1,1,0,0,0.0,10.2
NED-Eredivisie,2526,AZ Alkmaar,Rome-Jayden Owusu-Oduro,NED,GK,21.0,2004.0,23,23,2051,,36,1.58,107,71,66.4,8.0,8.0,7.0,6,26.1,3,2,0,1,0.0,22.8
NED-Eredivisie,2526,Ajax,Maarten Paes,IDN,GK,27.0,1998.0,11,11,990,,11,1.0,44,33,75.0,3.0,5.0,3.0,5,45.5,1,1,0,0,0.0,11.0
NED-Eredivisie,2526,Ajax,Remko Pasveer,NED,GK,41.0,1983.0,4,4,360,,7,1.75,22,15,68.2,1.0,1.0,2.0,0,0.0,1,1,0,0,0.0,4.0
NED-Eredivisie,2526,Ajax,Vitezslav Jaros,CZE,GK,24.0,2001.0,19,19,1710,,23,1.21,85,62,72.9,10.0,8.0,1.0,5,26.3,3,3,0,0,0.0,19.0
NED-Eredivisie,2526,Excelsior,Calvin Raatsie,NED,GK,23.0,2002.0,2,2,180,,6,3.0,16,10,62.5,0.0,0.0,2.0,0,0.0,0,0,0,0,,2.0
NED-Eredivisie,2526,Excelsior,Stijn van Gassel,NED,GK,28.0,1996.0,32,32,2819,,46,1.47,163,117,71.8,10.0,8.0,14.0,6,18.8,4,3,0,1,0.0,31.3
NED-Eredivisie,2526,Excelsior,Tijmen Holla,,GK,,,1,0,61,,4,5.9,7,3,42.9,0.0,0.0,0.0,0,,1,1,0,0,0.0,0.7
NED-Eredivisie,2526,Feyenoord,Steven Benda,GER,GK,26.0,1998.0,1,1,90,,0,0.0,0,0,,1.0,0.0,0.0,1,100.0,0,0,0,0,,1.0
NED-Eredivisie,2526,Feyenoord,Timon Wellenreuther,GER,GK,29.0,1995.0,33,33,2970,,44,1.33,133,89,66.9,18.0,8.0,7.0,9,27.3,3,3,0,0,0.0,33.0
NED-Eredivisie,2526,Fortuna Sittard,Luuk Koopmans,NED,GK,31.0,1993.0,10,10,900,,21,2.1,54,33,61.1,3.0,2.0,5.0,0,0.0,0,0,0,0,,10.0
NED-Eredivisie,2526,Fortuna Sittard,Mattijs Branderhorst,NED,GK,31.0,1993.0,24,24,2160,,42,1.75,136,94,69.1,8.0,4.0,12.0,3,12.5,2,1,1,0,50.0,24.0
NED-Eredivisie,2526,Go Ahead Eagles,Jari De Busser,BEL,GK,25.0,1999.0,34,34,3060,,53,1.56,201,148,73.6,8.0,14.0,12.0,9,26.5,3,3,0,0,0.0,34.0
NED-Eredivisie,2526,Groningen,Etienne Vaessen,SUR,GK,30.0,1995.0,29,29,2512,,35,1.25,103,68,66.0,12.0,5.0,12.0,9,31.0,2,2,0,0,0.0,27.9
NED-Eredivisie,2526,Groningen,Hidde Jurjus,NED,GK,31.0,1994.0,7,5,548,,10,1.64,35,25,71.4,2.0,1.0,2.0,2,40.0,1,1,0,0,0.0,6.1
NED-Eredivisie,2526,Heerenveen,Andries Noppert,NED,GK,31.0,1994.0,4,4,360,,7,1.75,18,11,61.1,0.0,2.0,2.0,0,0.0,0,0,0,0,,4.0
NED-Eredivisie,2526,Heerenveen,Bernt Klaverboer,NED,GK,19.0,2005.0,29,29,2610,,44,1.52,161,116,72.7,14.0,6.0,9.0,5,17.2,3,3,0,0,0.0,29.0
NED-Eredivisie,2526,Heerenveen,Nordin Bakker,NED,GK,27.0,1997.0,1,1,90,,2,2.0,3,1,33.3,0.0,1.0,0.0,0,0.0,0,0,0,0,,1.0
NED-Eredivisie,2526,Heracles Almelo,Fabian de Keijzer,NED,GK,25.0,2000.0,8,8,720,,20,2.5,56,36,64.3,1.0,0.0,7.0,1,12.5,0,0,0,0,,8.0
NED-Eredivisie,2526,Heracles Almelo,Remko Pasveer,NED,GK,41.0,1983.0,11,11,990,,27,2.45,81,54,66.7,1.0,2.0,8.0,1,9.1,4,4,0,0,0.0,11.0
NED-Eredivisie,2526,Heracles Almelo,Timo Jansink,NED,GK,22.0,2003.0,15,15,1350,,38,2.53,92,54,58.7,3.0,2.0,10.0,0,0.0,5,4,1,0,20.0,15.0
NED-Eredivisie,2526,NAC Breda,Daniel Bielica,POL,GK,26.0,1999.0,33,33,2970,,55,1.67,173,117,68.2,6.0,10.0,17.0,6,18.2,3,3,0,0,0.0,33.0
NED-Eredivisie,2526,NAC Breda,Kostas Lamprou,GRE,GK,33.0,1991.0,1,1,90,,3,3.0,5,2,40.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,1.0
NED-Eredivisie,2526,NEC Nijmegen,Gonzalo Crettaz,ARG,GK,25.0,2000.0,31,31,2790,,49,1.58,153,103,68.0,14.0,10.0,7.0,4,12.9,5,4,1,0,20.0,31.0
NED-Eredivisie,2526,NEC Nijmegen,Jasper Cillessen,NED,GK,36.0,1989.0,3,3,185,,2,0.97,9,7,77.8,2.0,1.0,0.0,1,33.3,0,0,0,0,,2.1
NED-Eredivisie,2526,NEC Nijmegen,Rijk Janse,NED,GK,23.0,2002.0,1,0,85,,2,2.12,5,3,60.0,0.0,0.0,0.0,0,,0,0,0,0,,0.9
NED-Eredivisie,2526,PSV,Matej Kovar,CZE,GK,25.0,2000.0,31,31,2790,,41,1.32,126,85,67.5,25.0,3.0,3.0,7,22.6,4,3,0,1,0.0,31.0
NED-Eredivisie,2526,PSV,Nick Olij,NED,GK,29.0,1995.0,1,1,90,,1,1.0,4,3,75.0,1.0,0.0,0.0,0,0.0,0,0,0,0,,1.0
NED-Eredivisie,2526,PSV,Niek Schiks,NED,GK,21.0,2004.0,2,2,180,,3,1.5,8,5,62.5,1.0,0.0,1.0,0,0.0,0,0,0,0,,2.0
NED-Eredivisie,2526,Sparta R.,Joel Drommel,NED,GK,28.0,1996.0,34,34,3060,,62,1.82,198,135,68.7,12.0,7.0,15.0,11,32.4,3,1,2,0,66.7,34.0
NED-Eredivisie,2526,Telstar,Daan Reiziger,NED,GK,24.0,2001.0,2,1,102,,2,1.76,12,10,83.3,0.0,1.0,0.0,0,0.0,0,0,0,0,,1.1
NED-Eredivisie,2526,Telstar,Ronald Koeman Jr.,NED,GK,30.0,1995.0,33,33,2958,,53,1.61,196,143,73.0,9.0,9.0,15.0,5,15.2,4,3,0,1,0.0,32.9
NED-Eredivisie,2526,Twente,Lars Unnerstall,GER,GK,35.0,1990.0,31,31,2790,,35,1.13,113,77,69.0,14.0,12.0,5.0,6,19.4,2,1,0,1,0.0,31.0
NED-Eredivisie,2526,Twente,Przemysław Tytoń,POL,GK,38.0,1987.0,3,3,270,,5,1.67,10,5,50.0,1.0,1.0,1.0,2,66.7,1,1,0,0,0.0,3.0
NED-Eredivisie,2526,Utrecht,Michael Brouwer,NED,GK,32.0,1993.0,2,1,135,,3,2.0,7,4,57.1,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,1.5
NED-Eredivisie,2526,Utrecht,Vasilios Barkas,GRE,GK,31.0,1994.0,33,33,2925,,39,1.2,149,110,73.8,15.0,8.0,10.0,9,27.3,2,0,1,1,100.0,32.5
NED-Eredivisie,2526,Volendam,Kayne van Oevelen,NED,GK,21.0,2003.0,32,32,2850,,51,1.61,200,149,74.5,8.0,7.0,17.0,3,9.4,2,2,0,0,0.0,31.7
NED-Eredivisie,2526,Volendam,Roy Steur,NED,GK,20.0,2005.0,3,2,210,,4,1.71,7,3,42.9,0.0,1.0,1.0,0,0.0,1,1,0,0,0.0,2.3
