league,season,team,players_used,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt,url
ESP-La Liga,2526,Espanyol,25,38,42,480,158,32.9,12.63,4.16,0.09,0.26,3,5,/en/squads/a8661628/2025-2026/Espanyol-Stats
ESP-La Liga,2526,Getafe,33,38,31,350,105,30.0,9.21,2.76,0.09,0.28,2,4,/en/squads/7848bd64/2025-2026/Getafe-Stats
ESP-La Liga,2526,Girona,32,38,38,426,157,36.9,11.21,4.13,0.09,0.23,7,8,/en/squads/9024a00a/2025-2026/Girona-Stats
ESP-La Liga,2526,Levante,30,38,47,476,147,30.9,12.53,3.87,0.1,0.31,2,6,/en/squads/9800b6a1/2025-2026/Levante-Stats
ESP-La Liga,2526,Mallorca,30,38,47,412,158,38.3,10.84,4.16,0.11,0.28,5,7,/en/squads/2aa12281/2025-2026/Mallorca-Stats
ESP-La Liga,2526,Osasuna,24,38,42,450,152,33.8,11.84,4.0,0.09,0.26,6,8,/en/squads/03c57e2b/2025-2026/Osasuna-Stats
ESP-La Liga,2526,Oviedo,31,38,26,377,119,31.6,9.92,3.13,0.07,0.21,2,3,/en/squads/ab358912/2025-2026/Oviedo-Stats
ESP-La Liga,2526,Rayo Vallecano,28,38,41,530,183,34.5,13.95,4.82,0.08,0.22,3,5,/en/squads/98e8af82/2025-2026/Rayo-Vallecano-Stats
ESP-La Liga,2526,Real Betis,29,38,58,540,183,33.9,14.21,4.82,0.11,0.31,3,3,/en/squads/fc536746/2025-2026/Real-Betis-Stats
ESP-La Liga,2526,Real Madrid,35,38,77,664,253,38.1,17.47,6.66,0.11,0.29,12,14,/en/squads/53a2f082/2025-2026/Real-Madrid-Stats
ESP-La Liga,2526,Real Sociedad,36,38,57,470,175,37.2,12.37,4.61,0.12,0.31,8,9,/en/squads/e31d1cd9/2025-2026/Real-Sociedad-Stats
ESP-La Liga,2526,Sevilla,33,38,44,438,137,31.3,11.53,3.61,0.1,0.31,5,6,/en/squads/ad2be733/2025-2026/Sevilla-Stats
ESP-La Liga,2526,Valencia,27,38,46,449,123,27.4,11.82,3.24,0.1,0.35,5,9,/en/squads/dcc91a7b/2025-2026/Valencia-Stats
ESP-La Liga,2526,Villarreal,33,38,71,455,172,37.8,11.97,4.53,0.15,0.4,7,7,/en/squads/2a8183b3/2025-2026/Villarreal-Stats
FRA-Ligue 1,2425,Angers,30,34,31,311,91,29.3,9.15,2.68,0.1,0.32,5,6,/en/squads/69236f98/2024-2025/Angers-Stats
FRA-Ligue 1,2425,Auxerre,29,34,47,375,144,38.4,11.03,4.24,0.12,0.32,4,5,/en/squads/5ae09109/2024-2025/Auxerre-Stats
FRA-Ligue 1,2425,Brest,30,34,52,409,151,36.9,12.03,4.44,0.12,0.33,7,9,/en/squads/fb08dbb3/2024-2025/Brest-Stats
FRA-Ligue 1,2425,Le Havre,31,34,37,339,97,28.6,9.97,2.85,0.11,0.35,9,10,/en/squads/5c2737db/2024-2025/Le-Havre-Stats
FRA-Ligue 1,2425,Lens,33,34,40,484,148,30.6,14.24,4.35,0.08,0.26,5,5,/en/squads/fd4e0f7d/2024-2025/Lens-Stats
FRA-Ligue 1,2425,Lille,27,34,52,424,154,36.3,12.47,4.53,0.12,0.32,7,10,/en/squads/cb188c0c/2024-2025/Lille-Stats
FRA-Ligue 1,2425,Lyon,31,34,62,434,173,39.9,12.76,5.09,0.14,0.34,8,10,/en/squads/d53c0b06/2024-2025/Lyon-Stats
FRA-Ligue 1,2425,Marseille,32,34,70,481,185,38.5,14.15,5.44,0.14,0.36,8,10,/en/squads/5725cc7b/2024-2025/Marseille-Stats
FRA-Ligue 1,2425,Monaco,28,34,63,493,180,36.5,14.5,5.29,0.13,0.34,6,7,/en/squads/fd6114db/2024-2025/Monaco-Stats
FRA-Ligue 1,2425,Montpellier,35,34,23,371,111,29.9,10.91,3.26,0.06,0.2,3,4,/en/squads/281b0e73/2024-2025/Montpellier-Stats
FRA-Ligue 1,2425,Nantes,30,34,39,345,119,34.5,10.15,3.5,0.11,0.31,5,5,/en/squads/d7a486cd/2024-2025/Nantes-Stats
FRA-Ligue 1,2425,Nice,31,34,62,486,183,37.7,14.29,5.38,0.13,0.33,6,6,/en/squads/132ebc33/2024-2025/Nice-Stats
FRA-Ligue 1,2425,PSG,28,34,89,628,272,43.3,18.47,8.0,0.14,0.32,6,7,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
FRA-Ligue 1,2425,Reims,34,34,32,393,111,28.2,11.56,3.26,0.08,0.28,1,2,/en/squads/7fdd64e0/2024-2025/Reims-Stats
FRA-Ligue 1,2425,Rennes,35,34,51,423,155,36.6,12.44,4.56,0.12,0.31,5,8,/en/squads/b3072e00/2024-2025/Rennes-Stats
FRA-Ligue 1,2425,Saint-Étienne,32,34,39,366,115,31.4,10.76,3.38,0.11,0.33,3,4,/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats
FRA-Ligue 1,2425,Strasbourg,30,34,54,354,140,39.5,10.41,4.12,0.15,0.38,2,2,/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats
FRA-Ligue 1,2425,Toulouse,27,34,42,399,145,36.3,11.74,4.26,0.1,0.28,3,4,/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats
FRA-Ligue 1,2526,Angers,30,34,28,316,111,35.1,9.29,3.26,0.09,0.24,3,5,/en/squads/69236f98/2025-2026/Angers-Stats
FRA-Ligue 1,2526,Auxerre,30,34,30,364,119,32.7,10.71,3.5,0.08,0.24,3,5,/en/squads/5ae09109/2025-2026/Auxerre-Stats
FRA-Ligue 1,2526,Brest,27,34,42,380,120,31.6,11.18,3.53,0.11,0.33,6,8,/en/squads/fb08dbb3/2025-2026/Brest-Stats
FRA-Ligue 1,2526,Le Havre,31,34,31,373,124,33.2,10.97,3.65,0.08,0.24,2,6,/en/squads/5c2737db/2025-2026/Le-Havre-Stats
FRA-Ligue 1,2526,Lens,30,34,65,561,189,33.7,16.5,5.56,0.11,0.34,4,5,/en/squads/fd4e0f7d/2025-2026/Lens-Stats
FRA-Ligue 1,2526,Lille,30,34,51,464,157,33.8,13.65,4.62,0.11,0.31,7,8,/en/squads/cb188c0c/2025-2026/Lille-Stats
FRA-Ligue 1,2526,Lorient,26,34,47,385,134,34.8,11.32,3.94,0.12,0.33,3,7,/en/squads/d2c87802/2025-2026/Lorient-Stats
FRA-Ligue 1,2526,Lyon,32,34,52,417,159,38.1,12.26,4.68,0.12,0.32,3,5,/en/squads/d53c0b06/2025-2026/Lyon-Stats
FRA-Ligue 1,2526,Marseille,38,34,62,512,195,38.1,15.06,5.74,0.12,0.31,6,8,/en/squads/5725cc7b/2025-2026/Marseille-Stats
FRA-Ligue 1,2526,Metz,33,34,31,342,108,31.6,10.06,3.18,0.09,0.27,5,6,/en/squads/f83960ae/2025-2026/Metz-Stats
FRA-Ligue 1,2526,Monaco,32,34,57,426,151,35.4,12.53,4.44,0.13,0.36,6,7,/en/squads/fd6114db/2025-2026/Monaco-Stats
FRA-Ligue 1,2526,Nantes,33,33,28,374,108,28.9,11.33,3.27,0.07,0.25,2,4,/en/squads/d7a486cd/2025-2026/Nantes-Stats
FRA-Ligue 1,2526,Nice,36,34,35,382,134,35.1,11.24,3.94,0.09,0.26,3,3,/en/squads/132ebc33/2025-2026/Nice-Stats
FRA-Ligue 1,2526,PSG,28,34,73,601,226,37.6,17.68,6.65,0.12,0.31,5,8,/en/squads/e2d8892c/2025-2026/Paris-Saint-Germain-Stats
FRA-Ligue 1,2526,Paris,31,34,46,395,135,34.2,11.62,3.97,0.11,0.33,5,6,/en/squads/056a5a75/2025-2026/Paris-FC-Stats
FRA-Ligue 1,2526,Rennes,33,34,56,482,169,35.1,14.18,4.97,0.11,0.32,5,6,/en/squads/b3072e00/2025-2026/Rennes-Stats
FRA-Ligue 1,2526,Strasbourg,35,34,57,389,158,40.6,11.44,4.65,0.14,0.35,6,7,/en/squads/c0d3eab4/2025-2026/Strasbourg-Stats
FRA-Ligue 1,2526,Toulouse,26,33,46,425,143,33.6,12.88,4.33,0.11,0.31,4,7,/en/squads/3f8c4b5f/2025-2026/Toulouse-Stats
ITA-Serie A,2425,Atalanta,32,38,76,538,181,33.6,14.16,4.76,0.14,0.4,5,7,/en/squads/922493f3/2024-2025/Atalanta-Stats
ITA-Serie A,2425,Bologna,30,38,56,505,166,32.9,13.29,4.37,0.11,0.32,6,7,/en/squads/1d8099f8/2024-2025/Bologna-Stats
ITA-Serie A,2425,Cagliari,28,38,38,421,115,27.3,11.08,3.03,0.09,0.32,3,3,/en/squads/c4260e09/2024-2025/Cagliari-Stats
ITA-Serie A,2425,Como,38,38,44,519,176,33.9,13.66,4.63,0.08,0.25,0,2,/en/squads/28c9c3cd/2024-2025/Como-Stats
ITA-Serie A,2425,Empoli,34,38,31,367,107,29.2,9.66,2.82,0.08,0.28,2,3,/en/squads/a3d88bd8/2024-2025/Empoli-Stats
ITA-Serie A,2425,Fiorentina,34,38,58,439,166,37.8,11.55,4.37,0.13,0.33,6,8,/en/squads/421387cf/2024-2025/Fiorentina-Stats
ITA-Serie A,2425,Genoa,37,38,35,383,117,30.5,10.08,3.08,0.09,0.29,0,2,/en/squads/658bf2de/2024-2025/Genoa-Stats
ITA-Serie A,2425,Hellas Verona,32,38,31,372,95,25.5,9.79,2.5,0.08,0.32,2,2,/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats
ITA-Serie A,2425,Inter,26,38,76,565,179,31.7,14.87,4.71,0.13,0.4,8,9,/en/squads/d609edc0/2024-2025/Internazionale-Stats
ITA-Serie A,2425,Juventus,29,38,56,509,175,34.4,13.39,4.61,0.11,0.31,6,6,/en/squads/e0652b02/2024-2025/Juventus-Stats
ITA-Serie A,2425,Lazio,27,38,60,528,185,35.0,13.89,4.87,0.11,0.31,6,7,/en/squads/7213da33/2024-2025/Lazio-Stats
ITA-Serie A,2425,Lecce,31,38,27,450,119,26.4,11.84,3.13,0.06,0.22,3,4,/en/squads/ffcbe334/2024-2025/Lecce-Stats
ITA-Serie A,2425,Milan,35,38,59,555,185,33.3,14.61,4.87,0.1,0.31,4,8,/en/squads/dc56fe14/2024-2025/Milan-Stats
ITA-Serie A,2425,Monza,36,38,27,333,99,29.7,8.76,2.61,0.08,0.26,3,3,/en/squads/21680aa4/2024-2025/Monza-Stats
ITA-Serie A,2425,Napoli,27,38,56,499,150,30.1,13.13,3.95,0.11,0.36,4,5,/en/squads/d48ad4ff/2024-2025/Napoli-Stats
ITA-Serie A,2425,Parma,32,38,43,418,140,33.5,11.0,3.68,0.1,0.29,6,7,/en/squads/eab4234c/2024-2025/Parma-Stats
ITA-Serie A,2425,Roma,28,38,55,514,162,31.5,13.53,4.26,0.11,0.32,8,8,/en/squads/cf74a709/2024-2025/Roma-Stats
