league,season,team,players_used,90s,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_1,expected_90,launched_cmp,launched_att,launched_cmp_1,passes_att_gk,passes_thr,passes_launch,passes_avglen,goal_kicks_att,goal_kicks_launch,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_1,sweeper_opa,sweeper_opa_90,sweeper_avgdist,url
GER-Bundesliga,2425,Leverkusen,2,34,43,4,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/c7a9f859/2024-2025/Leverkusen-Stats
GER-Bundesliga,2425,Mainz 05,2,34,43,4,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/a224b06a/2024-2025/Mainz-05-Stats
GER-Bundesliga,2425,RB Leipzig,2,34,48,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats
GER-Bundesliga,2425,St Pauli,2,34,41,1,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/54864664/2024-2025/St-Pauli-Stats
GER-Bundesliga,2425,Stuttgart,1,34,53,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/598bc722/2024-2025/Stuttgart-Stats
GER-Bundesliga,2425,Union Berlin,2,34,50,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/7a41008f/2024-2025/Union-Berlin-Stats
GER-Bundesliga,2425,Werder Bremen,1,34,57,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats
GER-Bundesliga,2425,Wolfsburg,2,34,54,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats
GER-Bundesliga,2526,Augsburg,1,34,61,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/0cdc4311/2025-2026/Augsburg-Stats
GER-Bundesliga,2526,Bayern Munich,3,34,36,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/054efa67/2025-2026/Bayern-Munich-Stats
GER-Bundesliga,2526,Dortmund,1,34,34,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/add600ae/2025-2026/Dortmund-Stats
GER-Bundesliga,2526,Frankfurt,2,34,65,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/f0ac8ee6/2025-2026/Eintracht-Frankfurt-Stats
GER-Bundesliga,2526,Freiburg,1,34,57,0,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/a486e511/2025-2026/Freiburg-Stats
GER-Bundesliga,2526,Gladbach,1,34,53,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/32f3ee20/2025-2026/Monchengladbach-Stats
GER-Bundesliga,2526,Hamburger SV,2,34,54,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/26790c6a/2025-2026/Hamburger-SV-Stats
GER-Bundesliga,2526,Heidenheim,2,34,72,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/18d9d2a7/2025-2026/Heidenheim-Stats
GER-Bundesliga,2526,Hoffenheim,1,34,52,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/033ea6b8/2025-2026/Hoffenheim-Stats
GER-Bundesliga,2526,Köln,1,34,63,5,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/bc357bf7/2025-2026/Koln-Stats
GER-Bundesliga,2526,Leverkusen,2,34,47,7,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/c7a9f859/2025-2026/Leverkusen-Stats
GER-Bundesliga,2526,Mainz 05,3,34,53,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/a224b06a/2025-2026/Mainz-05-Stats
GER-Bundesliga,2526,RB Leipzig,2,34,47,2,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/acbb6a5b/2025-2026/RB-Leipzig-Stats
GER-Bundesliga,2526,St Pauli,1,34,60,3,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/54864664/2025-2026/St-Pauli-Stats
GER-Bundesliga,2526,Stuttgart,1,34,49,9,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/598bc722/2025-2026/Stuttgart-Stats
GER-Bundesliga,2526,Union Berlin,3,34,58,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/7a41008f/2025-2026/Union-Berlin-Stats
GER-Bundesliga,2526,Werder Bremen,2,34,60,6,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/62add3bf/2025-2026/Werder-Bremen-Stats
GER-Bundesliga,2526,Wolfsburg,1,34,69,7,,,,,,,,,,,,,,,,,,,,,,,,/en/squads/4eaa11d7/2025-2026/Wolfsburg-Stats
